,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
224,뽀로로 극장판 보물섬 대모험,736,5886268900,766.758,애니메이션,전체관람가,4,2019,2,13
225,레슬러,957,6440492657,765.963,드라마,15세이상관람가,5,2018,1,6
226,스플릿,702,6097721539,757.43,드라마,15세이상관람가,11,2016,1,6
227,방황하는 칼날,594,7806377800,987.42,범죄,청소년관람불가,4,2014,3,10
228,물괴,1183,6104164954,723.414,액션,15세이상관람가,9,2018,1,14
229,미쓰백,638,6027243066,720.558,드라마,15세이상관람가,10,2018,1,6
230,국가대표 2,562,5424324942,703.024,드라마,12세이상관람가,8,2016,0,6
231,신비아파트: 금빛 도깨비와 비밀의 동굴,762,5001247250,678.091,애니메이션,전체관람가,7,2018,2,13
232,열정같은소리하고있네,566,4761399902,654.407,드라마,15세이상관람가,11,2015,1,6
233,그날의 분위기,592,5142899612,652.453,멜로/로맨스,15세이상관람가,1,2016,1,7
234,아빠는 딸,520,5047634395,646.412,코미디,12세이상관람가,4,2017,0,17
235,사냥,696,4912658515,645.922,액션,15세이상관람가,6,2016,1,14
236,나를 찾아줘,875,5117014620,645.082,스릴러,15세이상관람가,11,2019,1,12
237,광대들: 풍문조작단,806,5226776088,637.021,사극,12세이상관람가,8,2019,0,11
238,관능의 법칙,591,5808789500,773.996,드라마,청소년관람불가,2,2014,3,6
239,플랜맨,458,4528561558,632.299,드라마,15세이상관람가,1,2014,1,6
240,조선마술사,608,4650016527,628.576,드라마,12세이상관람가,12,2015,0,6
241,해무(海霧),584,11631310219,1466.83,드라마,청소년관람불가,8,2014,3,6
242,특종: 량첸살인기,776,4754763118,616.481,스릴러,15세이상관람가,10,2015,1,12
243,서부전선,509,4751661400,609.063,전쟁,12세이상관람가,9,2015,0,16
244,미스터 주: 사라진 VIP,692,5057108660,601.675,코미디,12세이상관람가,1,2020,0,17
245,연애의 온도,567,13798864446,1865.195,멜로/로맨스,청소년관람불가,3,2013,3,7
246,패션왕,523,4338223379,591.125,코미디,15세이상관람가,11,2014,1,17
247,극장판 헬로카봇 : 달나라를 구해줘!,889,4553434150,587.818,애니메이션,전체관람가,9,2019,2,13
248,극장판 헬로카봇: 옴파로스 섬의 비밀,752,4485905140,575.353,애니메이션,전체관람가,1,2019,2,13
249,양자물리학,799,4526478380,553.879,범죄,15세이상관람가,9,2019,1,10
250,점박이 한반도의 공룡2 : 새로운 낙원,672,4293073300,550.059,애니메이션,전체관람가,12,2018,2,13
251,차이나타운,551,11989400678,1472.006,범죄,청소년관람불가,4,2015,3,10
252,침입자,1365,4806336000,531.214,미스터리,15세이상관람가,6,2020,1,9
253,널 기다리며,551,5232611336,634.953,스릴러,청소년관람불가,3,2016,3,12
254,7년의 밤,872,3969337524,528.007,스릴러,15세이상관람가,3,2018,1,12
255,순수의 시대,546,3702353828,465.492,사극,청소년관람불가,3,2015,3,11
256,가려진 시간,884,3946462400,510.878,드라마,12세이상관람가,11,2016,0,6
257,남자사용설명서,372,3602049257,507.257,코미디,15세이상관람가,2,2013,1,17
258,캐치미,517,3387483000,492.773,코미디,12세이상관람가,12,2013,0,17
259,무서운 이야기 2,337,3375472500,492.465,미스터리,15세이상관람가,6,2013,1,9
260,또 하나의 약속,192,3470184400,489.409,드라마,12세이상관람가,2,2014,0,6
